"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"59","1","1","765","0","1.11","41","1.69040538425419","1.92679975801573","3.26361417389109","1.95182258475656","1.75159500693481"
"60","1","1","502","1","1.2","265","2.21381972062771","3.90351629502573","8.63184915523196","2.83336363636364","3.40008102320736"
"61","1","1","602","0","1.2","232","1.57755950393238","1.49542689322425","2.36257790231412","1.72563919892345","1.43797766019988"
"62","1","1","827","1","1.2","266","1.68741612744642","3.52907121292843","5.93534686172723","2.3046875","2.76562940367049"
"63","1","0","829","0","1.14","225","1.19057158884068","2.70703994377416","3.21489154849308","1.92482993197279","1.69386009549278"
"64","1","0","1072","1","2","32","2.14338312644645","5.66185804962493","12.1398219344395","2.51480040595399","5.02993063693662"
"65","1","1","766","1","1.25","24","2.00879277293754","2.79342334894829","5.60900004217452","2.21346153846154","2.76685285790803"
"66","1","0","944","1","1.2","268","1.85442159707329","2.81043296817945","5.19952619110292","2.17325227963526","2.6078753869969"
"67","1","0","777","0","1.11","221","1.59203123823457","1.49638055842813","2.37818221606244","1.66698374950456","1.49589182894481"
"68","1","1","825","1","1.14","260","1.98351928826661","3.2968099507062","6.53492270441423","2.50450599421248","2.86217354253346"
"69","1","1","890","0","1.25","59","1.81835697598805","1.41780884294886","2.58438887974996","1.83618644067797","1.46893264994155"
"70","1","1","996","1","2","35","2.68251630549127","4.42710859606575","11.8448818897638","2.54393623078383","5.08759293680297"
"71","1","1","812","1","1.2","14","2.10147580914779","3.37584881256063","7.09546416518904","2.48116625937474","2.9774678111588"
"72","1","0","1141","0","2","248","1.48828408920475","1.0274187703829","1.52680230397622","1.75962402942378","1.13663245781875"
"73","1","0","1169","0","1.2","53","1.70650330908494","1.63659804198058","2.78448655795505","1.83576913549666","1.52982404906184"
"74","1","0","2171","0","1.19","54","1.67815470559085","1.51719705391884","2.5400086082091","1.77226696435691","1.48494203196817"
"75","1","1","762","0","1.19","234","1.90227222332443","1.26778222265587","2.41251043801716","1.71839799749687","1.43970390309556"
"76","1","1","744","0","1.25","238","1.59473736668992","1.55003162555345","2.47151396282806","1.7776565385261","1.42213740458015"
"77","1","1","766","0","1.14","43","1.32351372357773","1.93921106396354","2.56658363671201","1.74930612244898","1.53062119366626"
"78","1","1","712","1","1.5","30","2.17757234082347","3.15458298264599","6.84906569577555","2.20831076375455","3.31242895035999"
"79","1","0","525","0","1.25","237","1.52802623732856","1.06703608032664","1.62395838724704","1.45331325301205","1.16270373921381"
"80","1","1","738","1","1.25","23","1.93742372966649","3.31532428141513","6.42320534223706","2.39459416361027","2.99338000465303"
"81","1","0","697","0","1.2","231","1.84828843427183","1.23318420043462","2.27907955207457","1.69310429851237","1.41091186570011"
"82","1","1","726","1","1.25","21","1.59301130524152","3.89243284368233","6.17608360587948","2.3004016064257","2.8755145348094"
"83","1","0","616","1","1.11","6","1.97483236888032","3.06860456634328","6.04836683417085","2.42409599742289","2.69351278216905"
"84","1","0","520","0","1.11","37","1.96139301236101","1.38867158341047","2.72331999157363","1.77773913043478","1.59998339261248"
"85","1","1","633","0","1.5","66","1.79439900008663","1.37047672706785","2.46080834889004","1.95101189959177","1.30065220473557"
"86","1","1","761","0","1.2","229","1.37215233716958","1.83503448275862","2.51791530944625","1.76983510316844","1.47483282953192"
"87","1","0","672","0","1.2","51","1.29039758195768","2.23099776346096","2.86588536613761","1.88704496788009","1.57249523719367"
"88","1","1","570","0","1.5","242","1.15135160503097","2.29284550997993","2.63988624244579","2.02028960374577","1.34680772769089"
"89","1","0","1586","0","1.5","64","1.5323141479744","1.27751780685771","1.95533753111729","1.72138718616173","1.14765916086182"
"90","1","1","576","0","2","252","1.5028231606518","1.08376579894534","1.3854747445437","1.73036162122806","1.15584952459694"
"91","1","0","736","0","1.14","223","1.64394159172227","2.14336809608072","3.53013990742185","2.02383333333333","1.77075216764204"
"92","1","1","685","0","1.14","224","1.57916474332499","1.31776302754111","2.08177387327757","1.54619607843137","1.35291731247334"
"93","1","1","571","1","1.2","269","1.94820077928031","3.5255087935691","6.88050041972434","2.49073996480349","2.98879701253668"
"94","1","0","733","0","1.14","46","1.43853176951009","1.86676646706587","2.67729273224694","1.73446464646465","1.51764327626397"
"95","1","1","729","0","1.2","49","2.07128501702145","1.46241175009756","3.02466530849825","1.93240977675814","1.6102841361232"
"96","1","0","709","0","1.25","239","1.99854882442048","1.38132569597825","2.75227090156337","1.88824435783558","1.51052985864025"
"97","1","1","706","1","2","31","2.45323058862484","4.44630579694971","10.9297195083517","2.44352688172043","4.88705205873293"
"98","1","1","655","0","1.5","246","1.39998163958505","1.40573465538424","1.97535742652899","1.75845964768537","1.17226160224689"
"99","1","1","644","1","2","34","2.64345073209339","3.93210084033613","10.4123437084331","2.38439750748564","4.76872125114995"
"100","1","0","675","1","1.11","1","2.11970074812968","3.07428308188414","6.52217849164982","2.50909090909091","2.78792360619896"
"101","1","0","577","0","1.2","52","1.56916295338029","1.35182534618635","2.12488639180369","1.58450447826404","1.32040485204358"
"102","1","1","739","0","2","250","1.25108047859515","1.20133770491803","1.49998508397721","1.7364406069243","1.15173534125085"
"103","1","1","702","0","1.14","47","1.65498327284764","1.73657283705131","2.88313214661737","1.85932981799626","1.63409631635081"
"104","1","0","556","1","1.14","12","1.78122713826776","3.18903641650231","5.67973095330488","2.32581800423246","2.65807979865275"
"105","1","1","527","0","1.5","244","1.65531291780735","1.31098751553163","2.16880964339528","1.82306650871552","1.21539340515834"
"106","1","0","631","1","1.11","2","2.0583085005069","3.00413036098223","6.18677211889449","2.45397225725095","2.71239436619718"
"107","1","1","739","0","1.2","230","1.40932260316373","1.85638426261163","2.60582578286441","1.80544840887175","1.50443358153811"
"108","1","1","591","0","1.25","235","1.07801473539732","2.55776892430279","2.75736787223533","1.8200774746559","1.45604001609039"
"109","1","0","816","0","1.25","58","1.75283806834892","1.37523801806912","2.40539510056239","1.79972482586637","1.43985609260128"
"110","1","0","591","1","1.11","3","1.56590488496622","3.42219244298739","5.34510769875793","2.27993426201283","2.53349326443993"
"111","1","1","664","0","1.11","217","1.54695865511282","1.87417867071013","2.89955331577139","1.88107883817427","1.69299450549451"
"112","1","1","519","0","1.25","57","1.51899995019672","1.87904343467107","2.85259563844629","1.93794964028777","1.55033434093615"
"113","1","1","454","0","2","71","1.35449142350043","1.15918059424327","1.56652549551076","1.78003120124805","1.12359175498623"
"114","1","1","2084","0","1.5","65","1.9393230965411","1.04155700467705","2.01854862054377","1.7582049564635","1.17210748389962"
"115","1","1","714","0","1.25","60","1.73006795955578","1.64767333174496","2.84721562968729","1.92368852459016","1.53890809471006"
"116","1","1","757","1","1.11","255","1.7965787849396","3.93760134526455","7.0818163765142","2.69098789958461","2.98997168224498"
"117","1","1","768","1","1.14","262","1.98888789088063","2.57383881697592","5.13357159386008","2.17775680352367","2.48882331902718"
"118","1","1","602","0","2","68","1.1235833666447","1.32359110291575","1.49386159324651","1.78223446376313","1.12217399168023"
"119","1","0","699","0","1.11","39","1.47353864638473","2.1956629913836","3.24110906608086","1.9552212231817","1.75970529895154"
"120","1","1","648","0","2","67","1.29763449564876","1.0674657468252","1.38233539802707","1.71852387843705","1.16381236038719"
"121","1","0","773","1","1.2","15","2.16580765434806","3.17320366735991","6.88897811684401","2.5210970464135","3.02527667347158"
"122","1","0","856","1","1.25","275","1.89917573189323","3.26851724611791","6.21197774884602","2.29382524271845","2.86737058975019"
"123","1","1","623","0","2","247","1.273508744002","1.31715139052096","1.68452844894778","1.85330434782609","1.07915616540652"
"124","1","1","783","0","1.5","61","1.60178198245548","1.36482473804567","2.19053517276727","1.82270069112174","1.21518749328462"
"125","1","0","614","1","1.14","9","2.06544472012575","2.7905325443787","5.76933588412134","2.40763802407638","2.73591024840244"
"126","1","0","999","1","1.14","261","1.71254925188638","3.40945735204715","5.83997004969029","2.39142880510346","2.71746204546261"
"127","1","0","632","1","1.11","4","1.76872478411153","3.47027611786524","6.14489042401143","2.42135447415029","2.68072866730585"
"128","1","1","664","0","1.5","245","1.55995735368386","1.40462763310665","2.19791981757684","1.82900322635422","1.21936936936937"
"129","1","0","905","0","1.14","227","1.62033464870704","1.7372602739726","2.82103698197361","1.83752953638067","1.61487070659436"
"130","1","1","779","0","1.14","44","1.32150273739853","1.80338587590548","2.39137115483113","1.64329411764706","1.4379037375303"
"131","1","1","764","1","1.5","25","1.92296486218752","3.99049450350107","7.65221987315011","2.36610827870842","3.54903403863845"
"132","1","1","902","0","2","69","1.29780016447368","1.05671308599979","1.23347875262563","1.57450460290217","1.27027802073326"
"133","1","1","701","1","1.25","273","2.06658685365715","2.58240157744964","5.33914543015903","2.12841328413284","2.66053537239978"
"134","1","0","1008","1","1.5","28","1.7466512479522","4.24832175244376","7.41736416512981","2.28640104293979","3.42961225139408"
"135","1","0","849","1","1.25","276","2.09281702630801","3.95437937683954","8.28483139325573","2.68102029621503","3.35130956711532"
"136","1","1","871","1","2","36","2.32274831478925","6.40294388224471","14.8652014195878","2.88544306343269","5.77096114519427"
"137","1","1","750","1","1.14","263","1.72401493353625","3.52473300862416","6.08968228668579","2.44764832973242","2.78511492156147"
"138","1","1","697","1","1.14","10","1.71765090790119","3.71563068364181","6.37716035878364","2.46906990987838","2.82194369839849"
"139","1","1","729","1","1.25","20","2.06629114891449","2.99124501094374","6.16208090379009","2.28956494325347","2.86213817543199"
"140","1","0","502","1","1.14","8","2.13110225344331","2.52151107076209","5.35695329087049","2.24259158435094","2.56298409629464"
"141","1","1","570","1","1.5","27","2.12654275293073","3.21721252962508","6.83512682551883","2.25334066970602","3.37994495565873"
"142","2","0","1258","0","1.2","232","1.57755950393238","1.49542689322425","2.36257790231412","1.72563919892345","1.43797766019988"
"143","2","1","882","0","2","248","1.48828408920475","1.0274187703829","1.52680230397622","1.75962402942378","1.13663245781875"
"144","2","1","985","0","1.14","225","1.19057158884068","2.70703994377416","3.21489154849308","1.92482993197279","1.69386009549278"
"145","2","1","1018","0","1.5","64","1.5323141479744","1.27751780685771","1.95533753111729","1.72138718616173","1.14765916086182"
"146","2","0","1226","1","1.14","261","1.71254925188638","3.40945735204715","5.83997004969029","2.39142880510346","2.71746204546261"
"147","2","1","839","0","1.25","235","1.07801473539732","2.55776892430279","2.75736787223533","1.8200774746559","1.45604001609039"
"148","2","0","847","0","1.25","238","1.59473736668992","1.55003162555345","2.47151396282806","1.7776565385261","1.42213740458015"
"149","2","1","774","0","1.2","233","1.41806257201099","1.78563732884092","2.53239002582521","1.82655030628514","1.52222304667211"
"150","2","1","1017","1","1.2","269","1.94820077928031","3.5255087935691","6.88050041972434","2.49073996480349","2.98879701253668"
"151","2","0","999","0","1.11","42","1.79191144781908","1.69392435454106","3.03558002966696","1.87121338912134","1.6840913631218"
"152","2","0","1576","0","1.14","44","1.32150273739853","1.80338587590548","2.39137115483113","1.64329411764706","1.4379037375303"
"153","2","1","1005","0","2","70","1.52488443297112","1.14738884228188","1.33292181069959","1.64217094999589","1.21787074404593"
"154","2","0","962","0","1.5","61","1.60178198245548","1.36482473804567","2.19053517276727","1.82270069112174","1.21518749328462"
"155","2","1","826","1","1.5","28","1.7466512479522","4.24832175244376","7.41736416512981","2.28640104293979","3.42961225139408"
"156","2","0","1087","0","1.5","63","1.203550473898","2.14693796582311","2.58029052593111","1.9999142881632","1.33336701697656"
"157","2","0","1181","0","1.14","226","2.02702702702703","1.23003170333365","2.49622320838448","1.6969696969697","1.48484848484848"
"158","2","1","807","1","1.11","258","1.80531565164094","3.00902802646211","5.43718888492155","2.3130803062388","2.57007057467953"
"159","2","1","768","0","1.5","246","1.39998163958505","1.40573465538424","1.97535742652899","1.75845964768537","1.17226160224689"
"160","2","1","824","1","1.11","253","1.76709384701106","3.98228976951579","7.0370925814837","2.6334456463912","2.92611409038166"
"161","2","1","768","1","1.14","263","1.72401493353625","3.52473300862416","6.08968228668579","2.44764832973242","2.78511492156147"
"162","2","1","938","0","2","72","1.37241671146082","1.08245173506771","1.48900710889318","1.74824696425517","1.14401868350489"
"163","2","1","639","1","1.14","9","2.06544472012575","2.7905325443787","5.76933588412134","2.40763802407638","2.73591024840244"
"164","2","1","623","0","1.14","46","1.43853176951009","1.86676646706587","2.67729273224694","1.73446464646465","1.51764327626397"
"165","2","0","671","1","1.2","265","2.21381972062771","3.90351629502573","8.63184915523196","2.83336363636364","3.40008102320736"
"166","2","0","951","0","1.11","38","1.29399585921325","1.99840652020585","2.57423861953512","1.70446153846154","1.54212091179386"
"167","2","1","756","0","1.5","243","1.79621162638798","1.35828591749644","2.43660298921113","1.95544466227054","1.30360331967644"
"168","2","1","799","1","1.11","5","1.67833973469322","3.25405953332424","5.47124701145086","2.30826525708794","2.57207371257921"
"169","2","1","792","0","1.25","237","1.52802623732856","1.06703608032664","1.62395838724704","1.45331325301205","1.16270373921381"
"170","2","0","717","0","1.14","48","1.73897434171407","1.72363649887498","3.00607097406797","1.88288747346072","1.64756369534365"
"171","2","0","810","0","1.2","51","1.29039758195768","2.23099776346096","2.86588536613761","1.88704496788009","1.57249523719367"
"172","2","0","861","0","1.2","50","1.72496152008917","1.57839100598628","2.72155920644761","1.84653580572581","1.53872538931193"
"173","2","1","788","0","1.2","229","1.37215233716958","1.83503448275862","2.51791530944625","1.76983510316844","1.47483282953192"
"174","2","1","749","1","1.25","22","1.75894851568486","4.08707289760468","7.20917209466828","2.52689089977804","3.15867624223602"
"175","2","0","814","0","1.19","234","1.90227222332443","1.26778222265587","2.41251043801716","1.71839799749687","1.43970390309556"
"176","2","1","696","0","2","247","1.273508744002","1.31715139052096","1.68452844894778","1.85330434782609","1.07915616540652"
"177","2","0","1140","1","1.14","259","2.4428766979046","2.3095412887489","5.63762405865044","2.30590146182999","2.63528129011835"
"178","2","0","1311","0","1.2","231","1.84828843427183","1.23318420043462","2.27907955207457","1.69310429851237","1.41091186570011"
"179","2","0","836","0","1.25","60","1.73006795955578","1.64767333174496","2.84721562968729","1.92368852459016","1.53890809471006"
"180","2","1","802","0","2","250","1.25108047859515","1.20133770491803","1.49998508397721","1.7364406069243","1.15173534125085"
"181","2","0","371","1","1.2","266","1.68741612744642","3.52907121292843","5.93534686172723","2.3046875","2.76562940367049"
"182","2","0","1441","0","1.11","37","1.96139301236101","1.38867158341047","2.72331999157363","1.77773913043478","1.59998339261248"
"183","2","0","2000","0","1.25","59","1.81835697598805","1.41780884294886","2.58438887974996","1.83618644067797","1.46893264994155"
"184","2","1","595","1","1.14","10","1.71765090790119","3.71563068364181","6.37716035878364","2.46906990987838","2.82194369839849"
"185","2","1","724","0","1.5","241","1.38812856037696","1.14384271993507","1.58777827107249","1.52133622300276","1.0142276192526"
"186","2","0","553","0","1.11","222","1.71234805727354","1.48632863425403","2.54528364697358","1.69185185185185","1.52266177626408"
"187","2","1","2523","1","2","31","2.45323058862484","4.44630579694971","10.9297195083517","2.44352688172043","4.88705205873293"
"188","2","1","1024","1","1.5","277","1.54163050096514","3.77649388165796","5.79808258346649","1.99664006719866","2.99497071555895"
"189","2","1","968","0","1.2","52","1.56916295338029","1.35182534618635","2.12488639180369","1.58450447826404","1.32040485204358"
"190","2","1","1146","1","1.5","30","2.17757234082347","3.15458298264599","6.84906569577555","2.20831076375455","3.31242895035999"
"191","2","1","949","0","2","249","1.00659927965609","1.18991171204544","1.19772613155441","1.56389049706393","1.27884306373862"
"192","2","0","1001","1","1.11","4","1.76872478411153","3.47027611786524","6.14489042401143","2.42135447415029","2.68072866730585"
"193","2","0","1546","1","1.2","268","1.85442159707329","2.81043296817945","5.19952619110292","2.17325227963526","2.6078753869969"
"194","2","1","1461","1","1.14","264","1.82911775927464","3.54125615763547","6.48847225741069","2.48471908230763","2.83970453853183"
"195","2","1","1092","1","1.2","15","2.16580765434806","3.17320366735991","6.88897811684401","2.5210970464135","3.02527667347158"
"196","2","1","838","0","1.14","228","1.71912192541656","1.65175237246908","2.83511090136857","1.81705050505051","1.58986560349817"
"197","2","1","830","1","1.14","12","1.78122713826776","3.18903641650231","5.67973095330488","2.32581800423246","2.65807979865275"
"198","2","0","970","0","1.25","58","1.75283806834892","1.37523801806912","2.40539510056239","1.79972482586637","1.43985609260128"
"199","2","1","820","0","1.5","65","1.9393230965411","1.04155700467705","2.01854862054377","1.7582049564635","1.17210748389962"
"200","2","0","1228","0","1.11","218","1.58976446049753","1.49011496722897","2.37694725334791","1.6641572232348","1.50566953346466"
"201","2","0","1044","0","1.11","217","1.54695865511282","1.87417867071013","2.89955331577139","1.88107883817427","1.69299450549451"
"202","2","1","1284","1","1.25","271","1.50687616578673","6.15659304324825","9.27755302578898","2.86315789473684","3.57904729993857"
"203","2","1","919","0","2","252","1.5028231606518","1.08376579894534","1.3854747445437","1.73036162122806","1.15584952459694"
"204","2","1","796","1","1.25","276","2.09281702630801","3.95437937683954","8.28483139325573","2.68102029621503","3.35130956711532"
"205","2","0","997","1","1.11","3","1.56590488496622","3.42219244298739","5.34510769875793","2.27993426201283","2.53349326443993"
"206","2","0","1127","0","1.5","66","1.79439900008663","1.37047672706785","2.46080834889004","1.95101189959177","1.30065220473557"
"207","2","1","1075","1","1.11","254","1.7025033104231","4.65880128257831","7.91694748302141","2.78454159749124","3.07770755751966"
"208","2","1","1313","1","1.11","6","1.97483236888032","3.06860456634328","6.04836683417085","2.42409599742289","2.69351278216905"
"209","2","1","1167","0","1.25","236","1.20714913565778","1.74885048358966","2.10212576185521","1.65650406504065","1.32525911261209"
"210","2","1","1055","1","1.2","267","2.03369371260628","2.68037248174994","5.46383727620401","2.25131782945736","2.70156564223409"
"211","2","1","894","1","1.5","281","1.88069080984381","4.28479211290748","8.08169857666812","2.42964590551847","3.64432140415373"
"212","2","0","787","0","1.14","43","1.32351372357773","1.93921106396354","2.56658363671201","1.74930612244898","1.53062119366626"
"213","2","1","781","1","1.11","257","1.65330069674815","3.41214131440913","5.65752970891474","2.36455170209366","2.63473837209302"
"214","2","1","807","1","2","36","2.32274831478925","6.40294388224471","14.8652014195878","2.88544306343269","5.77096114519427"
"215","2","0","1040","0","1.11","220","1.75708054309762","1.67860517237591","2.94716380031858","1.85232498722534","1.67310887625711"
"216","2","1","1967","1","1.5","26","2.13653474412453","3.9225982308167","8.37725647510247","2.46201754385965","3.69296922991009"
"217","2","1","868","0","1.25","240","1.67983090443876","1.63104127868082","2.74499155201545","1.89330543933054","1.51461676766331"
"218","2","1","799","1","1.2","16","1.5997882986913","3.47806127379917","5.5690537084399","2.26149517684887","2.71380905592402"
"219","2","1","886","1","1.5","29","1.88121472722386","3.51339435673497","6.62170875873186","2.16726110863427","3.25091159948753"
"220","2","1","939","0","1.5","62","2.18067277793482","1.05917758332912","2.06098736862405","1.7670619649729","1.17802146523565"
"221","2","1","883","1","2","286","2.90024259890922","4.44047353138262","12.8751867445335","2.58926342072409","5.17831437665998"
"222","2","1","712","1","1.25","24","2.00879277293754","2.79342334894829","5.60900004217452","2.21346153846154","2.76685285790803"
"223","2","1","789","0","1.2","230","1.40932260316373","1.85638426261163","2.60582578286441","1.80544840887175","1.50443358153811"
"224","2","1","798","1","1.5","25","1.92296486218752","3.99049450350107","7.65221987315011","2.36610827870842","3.54903403863845"
"225","2","1","767","1","1.2","17","1.83513093602936","2.82404235440673","5.18127206002665","2.17357249157985","2.6084607712766"
"226","2","1","970","0","1.5","242","1.15135160503097","2.29284550997993","2.63988624244579","2.02028960374577","1.34680772769089"
"227","2","1","899","1","2","32","2.14338312644645","5.66185804962493","12.1398219344395","2.51480040595399","5.02993063693662"
"228","2","1","904","0","1.5","245","1.55995735368386","1.40462763310665","2.19791981757684","1.82900322635422","1.21936936936937"
"229","2","1","1053","0","2","71","1.35449142350043","1.15918059424327","1.56652549551076","1.78003120124805","1.12359175498623"
"230","2","1","1473","1","1.5","279","1.87605682477382","4.90321846060422","9.18958167423994","2.65040148239654","3.97547122706279"
"231","2","0","1504","1","2","288","2.07439995544913","4.03223869123406","8.38662207357859","2.07446883602739","4.14899327183533"
"232","2","1","1021","0","1.11","41","1.69040538425419","1.92679975801573","3.26361417389109","1.95182258475656","1.75159500693481"
"233","2","0","1197","1","1.11","256","1.90085349580805","3.0264586943963","5.76461005905111","2.3850774046189","2.64044619674969"
"234","2","1","1050","1","2","33","3.35662249185708","2.19010481142197","7.34892787524366","1.95943623238226","3.91883019994032"
"235","2","1","894","0","1.25","57","1.51899995019672","1.87904343467107","2.85259563844629","1.93794964028777","1.55033434093615"
"236","2","0","1715","1","1.25","275","1.89917573189323","3.26851724611791","6.21197774884602","2.29382524271845","2.86737058975019"
"237","2","1","539","1","2","34","2.64345073209339","3.93210084033613","10.4123437084331","2.38439750748564","4.76872125114995"
"238","2","1","463","1","2","284","2.80197150766322","3.55599159074982","9.98675183345162","2.30732233186831","4.61453658991041"
"239","2","1","710","1","1.25","23","1.93742372966649","3.31532428141513","6.42320534223706","2.39459416361027","2.99338000465303"
"240","2","1","1204","1","2","35","2.68251630549127","4.42710859606575","11.8448818897638","2.54393623078383","5.08759293680297"
