"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1","1","1","0",250,"2","13714.3919759185","1.27026293571342","1.08017436406776","1.45515786056327","1.37443883633043"
"2","1","0","0",222,"1.11","15923.896184469","2.35500757680121","3.75442178485791","2.09766590389016","1.887828683808"
"3","1","1","1",30,"1.5","20296.3994907886","3.99066335366313","8.0964581763376","2.3853591160221","3.57813587983686"
"4","1","1","0",38,"1.11","2201.62741918689","1.24309128786928","2.73314166231051","1.80931414055885","1.63712441118712"
"5","1","1","1",18,"1.2","18232.2911520455","3.22671063478978","5.87311207544425","2.30410914668604","2.74991710875332"
"6","1","1","1",257,"1.11","18434.8173731496","3.12701494724502","5.77220391391025","2.35045599812924","2.61909825606125"
"7","1","1","1",268,"1.2","20317.5457481163","3.09063124485718","6.28811843603695","2.36526402640264","2.83832335329341"
"8","1","1","1",283,"2","22400.2172142275","6.20889101338432","13.9097988319273","2.71764705882353","5.43524257119853"
"9","1","1","1",31,"2","20232.6757713708","4.68894216362002","9.4901052631579","2.25950476190476","4.51912145877859"
"10","1","1","0",62,"1.5","12941.1908337301","1.16186830015314","1.50883425259419","1.49996173567001","1"
"11","1","1","0",237,"1.25","15998.2791766936","1.51114338886115","2.42172387490465","1.75081433224756","1.40066565056456"
"12","1","1","0",66,"1.5","14218.3024583239","1.12597790866288","1.60467389700457","1.57280176489127","1.04848562793389"
"13","1","1","1",35,"2","21380.0082669365","6.60077460892309","14.065524410352","2.74312171667705","5.48629733795539"
"14","1","1","1",262,"1.14","19385.9884415616","2.94662079680391","5.71888615268043","2.30727023319616","2.6370057792863"
"15","1","1","0",228,"1.14","15758.2499073044","1.64839858852927","2.59272784182795","1.73853281853282","1.52129293922448"
"16","1","0","0",40,"1.11","15276.2941777793","1.81325900443487","2.77070291114232","1.76794296699776","1.59689093600921"
"17","1","0","1",2,"1.11","16920.4737732657","4.33960706620439","7.34505494505494","2.68437640702386","2.96675114651219"
"18","1","1","0",240,"1.25","15666.5006640106","1.50500158336904","2.35591975571103","1.70112903225806","1.36092927737133"
"19","1","1","1",24,"1.25","19577.0447767989","3.29187896433399","6.43501313702748","2.38153695065063","2.97688049495278"
"20","1","1","1",288,"2","21609.1527356127","5.32098233520034","11.5064972154791","2.49522004995263","4.99048112216147"
"21","1","0","1",8,"1.14","19996.6902030009","3.15773720442981","6.32556568726781","2.49852407860336","2.85544448137448"
"22","1","1","1",276,"1.25","19572.1438324989","3.27701455813","6.42782146107002","2.38783486686752","2.98485339381176"
"23","1","1","1",6,"1.11","18906.1597853528","2.95899915119755","5.58491748485481","2.33395356362754","2.59327610872675"
"24","1","1","0",58,"1.25","14469.932331787","1.77612624280221","2.56153144940747","1.83467741935484","1.46769343601027"
"25","1","1","1",15,"1.2","19961.951716192","3.72768247091297","7.41702944343023","2.55580357142857","3.06698686977775"
"26","1","1","1",19,"1.25","2.03017765310893","2.47866189427313","5.03212657548941","2.07407407407407","2.59264353361889"
"27","1","1","1",266,"1.2","24678.6632390746","3.03580976269844","7.50551501781775","2.5373334450683","3.04472303725438"
"28","1","1","1",287,"2","21411.8434258949","5.90381640020629","12.6558343518585","2.61717769410077","5.23456193884047"
"29","1","1","0",236,"1.25","15887.241323122","1.37698518795786","2.19615887307581","1.70318725099602","1.36251807137241"
"30","1","0","0",46,"1.14","16652.1379556986","1.66570061333154","2.78020488098825","1.79004239049123","1.56626705250103"
"31","1","0","0",233,"1.2","19621.3670741569","1.47073568846916","2.88804159445407","1.89904907454576","1.58258258258258"
"32","1","1","1",17,"1.2","18565.207426083","3.23164535523753","6.00805473336892","2.35887096774194","2.83058098742192"
"33","1","1","0",239,"1.25","14652.4372656475","1.83810018593459","2.70339758351998","1.875","1.50004822996045"
"34","1","0","0",227,"1.14","1745.56936692535","1.75809905230184","3.06690179653918","1.90115817864509","1.67067105363838"
"35","1","1","0",231,"1.2","16990.1989374786","1.22287288012755","2.0762331838565","1.61163177717439","1.3430529739777"
"36","1","0","0",48,"1.14","16525.5112580045","2.00581623182428","3.32126195598918","1.98830107526882","1.73980010952903"
"37","1","1","1",280,"1.5","2056.07721421182","3.748297537978","7.68196473897235","2.36788071376192","3.55186682857244"
"38","1","1","1",254,"1.11","2.34248303201393","2.43586830340603","5.70596743685792","2.326","2.57084681108806"
"39","1","1","1",7,"1.14","21200.6999596177","2.69353757103025","5.70473306015797","2.27608333333333","2.60122397165539"
"40","1","1","1",16,"1.2","19663.6481241915","3.74017695224487","7.36679344541997","2.52301724137931","3.02757227844489"
"41","1","1","1",9,"1.14","18782.6855557465","2.56987828857306","4.83194817892936","2.14948256036796","2.44254913269154"
"42","1","0","1",10,"1.14","16983.3472011672","4.03058906668013","6.85662505034233","2.53193604506669","2.89339862510594"
"43","1","1","1",3,"1.11","16986.6350437486","3.00390453287824","5.11533467775353","2.22201746654915","2.46887692453008"
"44","1","1","0",68,"2","14125.9820274044","1.1411127412256","1.23870010961377","1.62256434929035","1.23253446840011"
"45","1","1","1",36,"2","25139.4935311791","3.71361152508694","9.34587267742918","2.26076499340523","4.52150648281539"
"46","1","0","1",263,"1.14","18618.9889025894","3.30405095134466","6.14632825385884","2.41069049298534","2.74320371644873"
"47","1","1","1",261,"1.14","19559.2829201024","3.02821780995389","5.9301348216387","2.3434789465384","2.66309184255562"
"48","1","1","0",223,"1.14","20830.233596191","1.47149198862454","3.06578947368421","2.00692682926829","1.756104188502"
"49","1","0","1",270,"1.2","1903.22982633028","3.31236384653003","6.31881138252329","2.38486140724947","2.84665263157895"
"50","1","1","0",71,"2","1.09035359087771","1.21409543514807","1.32381141307942","1.67226086956522","1.19600203717851"
"51","1","1","0",235,"1.25","20297.4499022032","1.01943480922261","1.99169013434283","1.56576200417537","1.25258011058789"
"52","1","0","1",286,"2","25037.808771635","4.78120581517601","11.9482180932074","2.58736547379473","5.1749726449816"
"53","1","0","0",57,"1.25","15437.0938425914","1.13548209132575","1.7497886728656","1.47455089820359","1.17964357190508"
"54","1","0","0",220,"1.11","15106.287841251","1.87213150446331","2.82857518747533","1.83911187019641","1.66117151876535"
"55","1","1","0",56,"1.25","17315.0028641358","1.69043241186914","2.91663227404045","1.92553191489362","1.5404933154537"
"56","1","0","0",43,"1.14","18970.6111024724","1.57969052224371","2.98862098350794","1.86308333333333","1.63019943964588"
"57","1","0","0",49,"1.2","1.1477891737046","2.28745920745921","2.62563144419071","1.84280449130025","1.5357191578373"
"58","1","1","0",218,"1.11","15546.5199712987","1.92741033234617","2.98487167154912","1.85460046271579","1.67799627741361"
"59","1","1","0",51,"1.2","1838.04627249357","1.39493676644527","2.55499356800374","1.78627267041901","1.48858958806391"
"60","1","1","0",246,"1.5","16650.26867479","1.25245461190462","2.08603528557392","1.78622789950089","1.19084443830698"
"61","1","1","0",50,"1.2","1.25090284395847","1.39017306063173","1.73897867820017","1.47456334375715","1.22880418656092"
"62","1","1","1",26,"1.5","29018.1215207865","2.24421869227928","6.4966090570991","2.19895161290323","3.29833658486498"
"63","1","1","1",253,"1.11","16200.16200162","3.22664843701448","5.24229954855979","2.22083690485467","2.46751457193645"
"64","1","0","0",39,"1.11","19247.2198460222","1.42535673996081","2.74019668865928","1.7904133039863","1.61145229651414"
"65","1","1","0",229,"1.2","1.80840537826651","1.25415487335801","2.2680412371134","1.68481284272431","1.40397993170032"
"66","1","1","0",226,"1.14","15924.1431725236","1.47552155771905","2.34206615532119","1.66473469387755","1.45659764514819"
"67","1","1","1",281,"1.5","1.90698031586761","3.94101744900467","7.51517629666908","2.35834634667543","3.53769008557257"
"68","1","1","0",243,"1.5","17028.6309743173","1.23191975678495","2.10453737909252","1.83282724661469","1.2218459752322"
"69","1","1","1",284,"2","24392.0467144652","5.91696722596832","14.4004636337294","2.84530853761623","5.69051931836168"
"70","1","1","1",33,"2","20127.9562935806","4.21726384364821","8.49549233110877","2.13940436994912","4.27903250254434"
"71","1","1","1",265,"1.2","19846.8422924975","4.88945745992602","9.68994216717265","2.97979797979798","3.57565429875892"
"72","1","0","1",275,"1.25","20971.0812796367","3.28782100177981","6.88503990490745","2.44488421052632","3.05612330373597"
"73","1","1","0",245,"1.5","16086.8690931028","1.33094511883073","2.14190389531609","1.83456095340561","1.22296209571199"
"74","1","1","1",5,"1.11","1879.12584042073","2.97820292202315","5.57836012927929","2.33214285714286","2.59874404504114"
"75","1","0","0",234,"1.2","17037.9795975586","1.24130395844528","2.11963764896761","1.60489648114619","1.34473416864206"
"76","1","1","1",27,"1.5","19722.2994348039","5.4791713076409","10.7967211181223","2.73649985863726","4.10472635157656"
"77","1","1","1",28,"1.5","19556.9746557573","4.39455517202984","8.60084438189764","2.46466666666667","3.69697846584195"
"78","1","1","1",4,"1.11","16571.7244950803","3.47741801481618","5.74551152661213","2.3773433100008","2.63212293057715"
"79","1","1","1",20,"1.25","20394.6973786815","2.81713988813839","5.75258960491337","2.25858585858586","2.82329110668124"
"80","1","0","0",244,"1.5","10598.8341282459","1.90437582789019","2.02471436870643","1.78314672952269","1.18879415347138"
"81","1","0","1",260,"1.14","19807.8905953221","2.95787592545315","5.87163589761352","2.33113931985582","2.66417245679672"
"82","1","1","0",59,"1.25","16647.1277842907","1.64575520770329","2.74779476416031","1.89102564102564","1.51283213929446"
"83","1","1","0",252,"2","14662.9232640349","1.05082941370033","1.54172625464786","1.79318050153108","1.11540972902383"
"84","1","1","0",37,"1.11","11693.8950988822","2.70168801969951","3.17281728172817","1.89546218487395","1.70589808746824"
"85","1","1","1",23,"1.25","15919.0403092842","4.52675514984085","7.22709734694574","2.49827368421053","3.1228011392193"
"86","1","1","1",29,"1.5","22143.37166182","3.42616682880478","7.59445919845485","2.34764356435644","3.52148334909129"
"87","1","1","0",72,"2","13035.5928360916","1.50911260577132","1.9735366453517","2.00963475518963","1.00487918215613"
"88","1","0","1",264,"1.14","18592.7734593759","3.38408108872108","6.29924465149939","2.44878493821017","2.79846130638105"
"89","1","1","1",14,"1.2","20479.4434080038","2.87581930912312","5.87864029420535","2.28943548387097","2.74737310469932"
"90","1","1","0",224,"1.14","14626.7811644805","1.55398312567448","2.27973383480399","1.61447619047619","1.41269199676637"
"91","1","1","0",225,"1.14","18368.9870269029","1.56163051406035","2.87201929703653","1.81975945017182","1.60140013126231"
