"Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf"
"betaN",0.307454,0.7855865,1.23172,0.783812853155,0.245284811708822,NA,0.0342567172863339,14,51,0.893631783022724,1.31056453002735
"betaCH",-0.809913,-0.293254,0.218448,-0.302764122009907,0.274415531318488,NA,0.0313268906691043,11.4,77,0.928337235183028,1.01878761667039
"betaDensity",-0.933532,-0.0678623,0.676961,-0.0858979551054,0.430296540015677,NA,0.081248335288967,18.9,28,0.97124546393512,1.17057696220741
"betaSurface",-1.08018,-0.4642395,0.254912,-0.45316374623918,0.34695369842773,NA,0.0446336178053419,12.9,60,0.939550952507007,1.07300049601175
"betaItemsize",-0.363095,0.188947,0.719553,0.179376048396506,0.277793875618661,NA,0.0329706763787731,11.9,71,0.932515053319108,1.0215206019213
"betaCircumfrence",-0.462534,0.0780702,0.518312,0.050025537044665,0.259582887589829,NA,0.0403329113621301,15.5,41,0.959321107822967,1.3075070315808
